Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year,Background,Story,Award Region,Award Category,Jury,Summary,Location,Location_probability
1,Not Specified,1957 Photo Contest,Spot News,"01 January, 1957",https://www.worldpressphoto.org/getmedia/db8c59c0-eeed-448c-be02-d08239f5686a/1957-Nikola-Bibic-SN3?maxsidesize=1920&resizemode=force,F:\Temp\1957\Nikola Bibic\1.jpg,A man on the hot roof of a burning tavern in Belgrade.,3rd prize,Nikola Bibic,1957,,,,,,A man on the hot roof of a burning tavern in Belgrade.,Serbia,0.9995770283512186
1,Not Specified,1957 Photo Contest,News,"04 September, 1957",https://www.worldpressphoto.org/getmedia/cc3def38-81ad-46bb-8308-53fcd7115ac8/1957-Douglas-Martin-SN1-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Douglas Martin\1.jpg,"Dorothy Counts, the first and at the time only black student to enroll in the newly desegregated Harry Harding High School in Charlotte (NC), is mocked by protestors on her first day of school. Bystanders threw rocks and screamed at Dorothy to go back to where she came from.
The man walking beside her is probably Dr. Edwin Tompkins, a friend of the family and a professor at the black college Johnson C. Smith University. After a string of abuses, Dorothy's family withdrew her from the school after only four days. Children had been enrolling for the new school year and tension was particularly high in the south for districts trying to comply with the US Supreme Court's ruling that states should desegregate their schools with deliberate speed.",1st prize,Douglas Martin,1957,,,,,,"Dorothy Counts, the first and at the time only black student to enroll in the newly desegregated Harry Harding High School in Charlotte, was mocked by protestors on her first day of school. Bystanders threw rocks and screamed at Dorothy to go back to where she came from.",United States,0.9999274027413207
1,Not Specified,1957 Photo Contest,Sports,"01 January, 1957",https://www.worldpressphoto.org/getmedia/78fa9427-b285-40da-ab8e-3bbf1bd7c1e7/1957-Robert-Edwards-SP1?maxsidesize=1920&resizemode=force,F:\Temp\1957\Robert Edwards\1.jpg,A kick in the face during a football match.,1st prize,Robert Edwards,1957,,,,,,A kick in the face during a football match.,None,None
1,Not Specified,1957 Photo Contest,Features,"01 January, 1957",https://www.worldpressphoto.org/getmedia/8279d693-2012-4c5c-bf3c-2a07d492b7c6/1957-Zygmunt-Wdowinski-GN1-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Zygmunt Wdowinski\1.jpg,"A watchmaker in Sarajevo, Yugoslavia.",1st prize,Zygmunt Wdowinski,1957,,,,,,"A watchmaker in Sarajevo, Yugoslavia.",Cuba,0.9999377736588713
1,Not Specified,1957 Photo Contest,Features,"01 January, 1957",https://www.worldpressphoto.org/getmedia/2614bad9-8288-469c-9b40-a8cfc182ee2c/1957-Ernest-E-Miller-GN2-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Ernest E. Miller\1.jpg,"Geoffrey Fisher, Archbishop of Canterbury, is laughing.",2nd prize,Ernest E. Miller,1957,,,,,,"Geoffrey Fisher, Archbishop of Canterbury, is laughing.",United Kingdom,0.9673664940402773
1,Not Specified,1957 Photo Contest,General News,"01 January, 1957",https://www.worldpressphoto.org/getmedia/c6de6881-f2f0-49a5-8af0-7275bf385ad2/1957-Ernest-E-Miller-GN2?maxsidesize=1920&resizemode=force,F:\Temp\1957\Ernest E. Miller\1.jpg,"Geoffrey Fisher, Archbishop of Canterbury, is laughing.",2nd prize,Ernest E. Miller,1957,,,,,,"Geoffrey Fisher, Archbishop of Canterbury, is laughing.",United Kingdom,0.9673664940402773
1,Not Specified,1957 Photo Contest,Spot News,"04 September, 1957",https://www.worldpressphoto.org/getmedia/8fb06402-17ab-4d65-9313-de672253dadf/1957-Douglas-Martin-SN1?maxsidesize=1920&resizemode=force,F:\Temp\1957\Douglas Martin\1.jpg,"Dorothy Counts, the first and at the time only black student to enroll in the newly desegregated Harry Harding High School in Charlotte (NC), is mocked by protestors on her first day of school. Bystanders threw rocks and screamed at Dorothy to go back to where she came from.
The man walking beside her is probably Dr. Edwin Tompkins, a friend of the family and a professor at the black college Johnson C. Smith University. After a string of abuses, Dorothy's family withdrew her from the school after only four days. Children had been enrolling for the new school year and tension was particularly high in the south for districts trying to comply with the US Supreme Court's ruling that states should desegregate their schools with deliberate speed.",1st prize,Douglas Martin,1957,,,,,,"Dorothy Counts, the first and at the time only black student to enroll in the newly desegregated Harry Harding High School in Charlotte (NC), is mocked by protestors on her first day of school.",NC,0.9996258927040813
1,Not Specified,1957 Photo Contest,Features,"01 January, 1957",https://www.worldpressphoto.org/getmedia/7de15ee4-0869-4b4a-8d11-8e5e6e79eb68/1957-Leos-Nebor-GN3-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Leos Nebor\1.jpg,A mother and child in Mongolia.,3rd prize,Leos Nebor,1957,,,,,,A mother and child in Mongolia.,Mongolia,0.9991333482277298
1,Not Specified,1957 Photo Contest,General News,"11 August, 1957",https://www.worldpressphoto.org/getmedia/327b89d4-1a0e-43d7-88b3-17f62501f720/1957-Albert-Winkler-GN3?maxsidesize=1920&resizemode=force,F:\Temp\1957\Albert Winkler\1.jpg,Italian mountaineer Claudio Corti is rescued from the top of the Eiger (3970m).,3rd prize,Albert Winkler,1957,,,,,,Italian mountaineer Claudio Corti is rescued from the top of the Eiger (3970m).,None,None
1,Not Specified,1957 Photo Contest,Sports,"01 January, 1957",https://www.worldpressphoto.org/getmedia/2bbb549f-037d-4279-9c92-9a82a53e0ee6/1957-Jaap-J-Herschel-SP2?maxsidesize=1920&resizemode=force,F:\Temp\1957\Jaap J. Herschel\1.jpg,"Dutch football goalkeeper Frans de Munck, known as 'The Black Panther', in action at the Galgenwaard Stadium in Utrecht, home of De Munck's football club DOS (currently FC Utrecht).",2nd prize,Jaap J. Herschel,1957,,,,,,"Dutch football goalkeeper Frans de Munck, known as 'The Black Panther', in action at the Galgenwaard Stadium in Utrecht, home of De Munck's football club DOS.",Netherlands,0.7704638952256602
1,Not Specified,1957 Photo Contest,Spot News,"06 June, 1957",https://www.worldpressphoto.org/getmedia/12d6e8e8-1408-4609-9d3a-c45ef55e9c1d/1957-Simon-E-Smit-SN2?maxsidesize=1920&resizemode=force,F:\Temp\1957\Simon E. Smit\1.jpg,"A blind man is saved from drowning at the Veenkade, The Hague, The Netherlands.
In 1999, photographer Simon E. Smit told De Zilveren Camera, on the occasion of its 50th anniversary, about making the image: 'I was walking on the Veenkade in The Hague, when a man asked me for directions. I told him how to walk and watched him go, when I discovered, seeing his cane and bag, that he was blind. Shortly afterwards, I heard cries for help and a lot of clamor and screaming. Apparently the man had walked straight into the water. As I always carry a camera with me, I could immortalize how this blind man was rescued from the water at the Veenkade.'",2nd prize,Simon E. Smit,1957,,,,,,"Simon E. Smit was walking on the Veenkade in The Hague, Netherlands, when a man asked him for directions. He told him how to walk and watched him go, when I discovered, seeing his cane and bag, that he was blind",Hague,0.9505793134987606
1,Not Specified,1957 Photo Contest,News,"06 June, 1957",https://www.worldpressphoto.org/getmedia/9551a7cc-c1c8-407e-9b43-fcbe38c52a8c/1957-Simon-E-Smit-SN2-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Simon E. Smit\1.jpg,"A blind man is saved from drowning at the Veenkade, The Hague, The Netherlands.
In 1999, photographer Simon E. Smit told De Zilveren Camera, on the occasion of its 50th anniversary, about making the image: 'I was walking on the Veenkade in The Hague, when a man asked me for directions. I told him how to walk and watched him go, when I discovered, seeing his cane and bag, that he was blind. Shortly afterwards, I heard cries for help and a lot of clamor and screaming. Apparently the man had walked straight into the water. As I always carry a camera with me, I could immortalize how this blind man was rescued from the water at the Veenkade.'",2nd prize,Simon E. Smit,1957,,,,,,"Simon E. Smit was walking on the Veenkade in The Hague, The Netherlands, when a man asked him for directions.",Netherlands,0.9829907989122901
1,Not Specified,1957 Photo Contest,General News,"01 January, 1957",https://www.worldpressphoto.org/getmedia/54759226-77b0-4139-942f-7692e69a7132/1957-Zygmunt-Wdowinski-GN1?maxsidesize=1920&resizemode=force,F:\Temp\1957\Zygmunt Wdowinski\1.jpg,"A watchmaker in Sarajevo, Yugoslavia.",1st prize,Zygmunt Wdowinski,1957,,,,,,"A watchmaker in Sarajevo, Yugoslavia, has been arrested.",Bosnia and Herzegovina,0.9998747143667117
1,Not Specified,1957 Photo Contest,Photo Stories,"11 August, 1957",https://www.worldpressphoto.org/getmedia/cb186323-731d-40e9-9751-13097c57834d/1957-Albert-Winkler-GN3-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Albert Winkler\1.jpg,Italian mountaineer Claudio Corti is rescued from the top of the Eiger (3970m).,3rd prize,Albert Winkler,1957,,,,,,Italian mountaineer Claudio Corti is rescued from the top of the Eiger.,Eiger,0.3672563325476794
1,Not Specified,1957 Photo Contest,News,"01 January, 1957",https://www.worldpressphoto.org/getmedia/90d73b1a-46d5-41b6-890a-bdedd814241f/1957-Nikola-Bibic-SN3-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1957\Nikola Bibic\1.jpg,A man on the hot roof of a burning tavern in Belgrade.,3rd prize,Nikola Bibic,1957,,,,,,A man on the hot roof of a burning tavern in Belgrade.,Serbia,0.9995770283512186
1,Not Specified,1959 Photo Contest,News,"01 January, 1959",https://www.worldpressphoto.org/getmedia/6e18ddcf-502d-4c11-8bed-e7f5c51fc979/1959-Daniel-Camus-SN3-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1959\Daniel Camus\1.jpg,"Street fight during the final days of the revolution in Havana, Cuba. 

The Cuban Revolution, which had started in July 1953 with an armed attack on an army base by Fidel Castro and his revolutionary 26th of July Movement, culminated on 1 January 1959 when President Fulgencio Battista fled the country and his army capitulated. The rebellion army led by Che Guevara and Camilo Cienfuegos entered Havana on 2 January, joined by Castro on 8 January.",3rd prize,Daniel Camus,1959,,,,,,"Street fight during the final days of the Cuban Revolution in Havana, Cuba",Cuba,0.9970646761732098
1,Not Specified,1959 Photo Contest,Features,"01 January, 1955",https://www.worldpressphoto.org/getmedia/44bce30c-24b0-48c4-973f-5872bddc4458/1959-Jean-Philippe-Charbonnier-GN2-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1959\Jean-Philippe Charbonnier\1.jpg,Street scene in Kuwait: A woman carries a sewing machine on her head.,2nd prize,Jean-Philippe Charbonnier,1959,,,,,,A woman in Kuwait carries a sewing machine on her head.,Kuwait,0.999896648201485
1,Not Specified,1959 Photo Contest,Features,"01 January, 1958",https://www.worldpressphoto.org/getmedia/f032a90c-1212-45a2-8fff-a31bb8fe31c7/1959-Erno-Vadas-GN3-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1959\Ern? Vadas\1.jpg,Herd of black horses on the puszta in Hungary.,3rd prize,Ern? Vadas,1959,,,,,,A herd of black horses on the puszta in Hungary.,Hungary,0.9997185032656475
1,Not Specified,1959 Photo Contest,General News,"01 January, 1955",https://www.worldpressphoto.org/getmedia/0c8eb5c0-f1b9-49dc-ab2f-39a2be339d47/1959-Jean-Philippe-Charbonnier-GN2?maxsidesize=1920&resizemode=force,F:\Temp\1959\Jean-Philippe Charbonnier\1.jpg,Street scene in Kuwait: A woman carries a sewing machine on her head.,2nd prize,Jean-Philippe Charbonnier,1959,,,,,,A woman in Kuwait carries a sewing machine on her head.,Kuwait,0.999896648201485
1,Not Specified,1959 Photo Contest,General News,"01 January, 1958",https://www.worldpressphoto.org/getmedia/4ca50785-cc62-4517-8b37-a6d6b020e817/1959-Vilem-Kropp-GN1?maxsidesize=1920&resizemode=force,F:\Temp\1959\Vilém Kropp\1.jpg,A boy is being reprimanded by his kindergarten teacher.,1st prize,Vilém Kropp,1959,,,,,,A boy is being reprimanded by his kindergarten teacher.,None,None
1,Not Specified,1959 Photo Contest,Sports,"01 January, 1958",https://www.worldpressphoto.org/getmedia/8bcba0ec-fc16-4c41-b976-e4cf08c1171e/1959-Otakar-Hurka-SP2?maxsidesize=1920&resizemode=force,F:\Temp\1959\Otakar Hürka\1.jpg,"'Why me?', a football player asks the referee, during a game in the Czechoslovakian premier league, in Hrádec Kralové.",2nd prize,Otakar Hürka,1959,,,,,,The referee asks a football player why he is not in the match.,None,None
1,Not Specified,1959 Photo Contest,Sports,"29 June, 1958",https://www.worldpressphoto.org/getmedia/7b5d7b9b-54c4-4fa0-b75f-1fccbf69d7c0/1959-Gunnar-Tingsvall-SP3?maxsidesize=1920&resizemode=force,F:\Temp\1959\Gunnar Tingsvall\1.jpg,"Brazilian football player Pelé (Edison Arantes do Nascimento) weeps for joy when Brazil wins the FIFA World Cup final after defeating guest land Sweden in R?sunda Stadium in Solna. It was the first time Brazil won the World Cup. 

Pelé is resting his head on the shoulder of his teammate Didi (Waldyr Pereira), on the right, Brazil's goalkeeper Gylmar dos Santos Neves.",3rd prize,Gunnar Tingsvall,1959,,,,,,Pelé (Edison Arantes do Nascimento) weeps for joy when Brazil wins the FIFA World Cup final after defeating guest land Sweden in R?sunda Stadium in Solna. It was the first time Brazil won the World Cup.,Sweden,0.9166659490747016
1,Not Specified,1959 Photo Contest,Features,"01 January, 1958",https://www.worldpressphoto.org/getmedia/9c6e4c96-4c43-4b72-9898-d409d0856e54/1959-Vilem-Kropp-GN1-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1959\Vilém Kropp\1.jpg,A boy is being reprimanded by his kindergarten teacher.,1st prize,Vilém Kropp,1959,,,,,,A boy is being reprimanded by his kindergarten teacher.,None,None
1,Not Specified,1959 Photo Contest,General News,"01 January, 1958",https://www.worldpressphoto.org/getmedia/1f7afe06-e639-42f6-8418-24b394cdedfe/1959-Erno-Vadas-GN3?maxsidesize=1920&resizemode=force,F:\Temp\1959\Ern? Vadas\1.jpg,Herd of black horses on the puszta in Hungary.,3rd prize,Ern? Vadas,1959,,,,,,A herd of black horses on the puszta in Hungary.,Hungary,0.9997185032656475
1,Not Specified,1959 Photo Contest,News,"01 January, 1958",https://www.worldpressphoto.org/getmedia/cb670b50-7a73-4a3f-9220-19c1195a641a/1959-Oleg-Tsesarsky-SN2-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1959\Oleg Tsesarsky\1.jpg,The scene of a car accident.,2nd prize,Oleg Tsesarsky,1959,,,,,,The scene of a car accident.,None,None
1,Not Specified,1959 Photo Contest,Sports,"01 April, 1958",https://www.worldpressphoto.org/getmedia/1bd32beb-b807-4fb3-9d0a-c071cf010550/1959-Stanislav-Tereba-SP1?maxsidesize=1920&resizemode=force,F:\Temp\1959\Stanislav Tereba\1.jpg,"Prague, Czechoslovakia

Sparta Praha’s goalkeeper Miroslav Ctvrtnícek takes a kick during a football match against Cervená Hvezda Bratislava in the Letná Stadium.",1st prize,Stanislav Tereba,1959,,,,,,"Prague, Czechoslovakia Sparta Praha goalkeeper Miroslav Ctvrtncek takes a kick during a football match against Cervená Hvezda Bratislava in the Letná Stadium.",Czechia,0.7232390650771414
1,Not Specified,1959 Photo Contest,Spot News,"07 April, 1958",https://www.worldpressphoto.org/getmedia/36a293c3-dc55-4fe1-8791-d47c26062bd3/1959-Colin-Fletcher-SN1?maxsidesize=1920&resizemode=force,F:\Temp\1959\Colin Fletcher\1.jpg,A crash during a motorcycle race on Easter Monday.,1st prize,Colin Fletcher,1959,,,,,,A crash during a motorcycle race on Easter Monday.,None,None
1,Not Specified,1959 Photo Contest,Spot News,"01 January, 1958",https://www.worldpressphoto.org/getmedia/1b311e96-c12d-4b6f-a8d1-c418ac3341ef/1959-Oleg-Tsesarsky-SN2?maxsidesize=1920&resizemode=force,F:\Temp\1959\Oleg Tsesarsky\1.jpg,The scene of a car accident.,2nd prize,Oleg Tsesarsky,1959,,,,,,The scene of a car accident.,None,None
1,Not Specified,1959 Photo Contest,Spot News,"01 January, 1959",https://www.worldpressphoto.org/getmedia/2837f652-c249-4fe2-be63-4053a198dc6a/1959-Daniel-Camus-SN3?maxsidesize=1920&resizemode=force,F:\Temp\1959\Daniel Camus\1.jpg,"Street fight during the final days of the revolution in Havana, Cuba. 

The Cuban Revolution, which had started in July 1953 with an armed attack on an army base by Fidel Castro and his revolutionary 26th of July Movement, culminated on 1 January 1959 when President Fulgencio Battista fled the country and his army capitulated. The rebellion army led by Che Guevara and Camilo Cienfuegos entered Havana on 2 January, joined by Castro on 8 January.",3rd prize,Daniel Camus,1959,,,,,,"Street fight during the final days of the Cuban Revolution in Havana, Cuba",Cuba,0.9970646761732098
1,Not Specified,1959 Photo Contest,News,"07 April, 1958",https://www.worldpressphoto.org/getmedia/239370db-5bac-4ab8-91ae-8562217ea3eb/1959-Colin-Fletcher-SN1-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1959\Colin Fletcher\1.jpg,A crash during a motorcycle race on Easter Monday.,1st prize,Colin Fletcher,1959,,,,,,A crash during a motorcycle race on Easter Monday.,None,None
1,Not Specified,1961 Photo Contest,Sports,"01 January, 1960",https://www.worldpressphoto.org/getmedia/1312ea00-aae9-405f-aaf1-9e7d87ad7ffc/1961-Victor-Blackman-SP3?maxsidesize=1920&resizemode=force,F:\Temp\1961\Victor Blackman\1.jpg,A young rugby player scoring a dramatic try during a local final.,3rd prize,Victor Blackman,1961,,,,,,A young rugby player scored a dramatic try during a local final.,local,0.9922239546191136
1,Not Specified,1961 Photo Contest,Photo Stories,"01 September, 1960",https://www.worldpressphoto.org/getmedia/b345a1eb-e187-4516-b99e-77aac5557290/1961-Andre-Lefebvre-GNS1-AE-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1961\André Lefèbvre\1.jpg,"Luba tribesmen have surrounded Congo government troops during a clash near the village of Lukengele, 15 miles outside the city of Bakwanga (now called Mbuji-Mayi) in Kasai province.

In June 1960, Congo gained independence from Belgium. Almost immediately afterwards, a period of violent turmoil, the so-called Congo Crisis, broke out, which did not end until 1966 when Joseph Mobutu seized power. In August 1960, the autonomous Mining State of South Kasai was proclaimed, with its capital at Bakwanga and Luba chief Albert Kalonji as president. Patrice Lumumba, newly elected prime minister of the Congo, launched a bloody campaign to bring the rebellious province under government control, causing the deaths of hundreds of Luba tribesmen.

The photos were made in early September 1960, when André Lefèbvre, together with American journalist Henry N. Taylor and French reporter christian d'Epenox, accompanied Congo government troops on their mission in the Kasai region. Taylor was killed in a clash with Luba tribesmen outside the village of Lukengele, 15 miles outside Bakwanga.",1st prize,André Lefèbvre,1961,,,,,,"Luba tribesmen have surrounded Congo government troops during a clash near the village of Lukengele, 15 miles outside the city of Bakwanga in Kasai province.",Lukengele,0.993584197944017
