,Photographer,Country,Story
52,Arild Kristo,Norway,"Arild Kristo (1939-2010) was a Norwegian photographer and filmmaker, whose small but poignant oeuvre achieved cult status as time passed, encompassing 180 photos, two short films and one feature film.Kristo had his photographic education in the Unites States and worked as a freelance photographer in the U.S. and Europe. In 1962, together with photographers Dan Young (1938) and Robert A. Robinson (1927-1996), he founded photo agency Manité, a name taken from the French word Humanité, which referred to the fundamental idea behind the group's photographic approach: to capture human existence through photography. Kristo travelled around Europe in 1962. When he came back, he discovered on his negatives a little boy playing in the shadow of the newly erected Berlin Wall. He decided to return in 1963 to make a story about this boy, Manfred Stein, and his life near Checkpoint Charlie. The photo essay about Manfred was published in the American magazine Look in June 1963 and in British and German magazines as well.In 1963, Kristo created the photo series Ten Commandments, in which he used distinct cropping methods, high contrasts and remarkable typography to present his images.Arild Kristo made his debut as a film director in 1966 with the short film Undergrunnen (The Underground) about Oslo's subway. In 1967, he followed with Kristoball, a playful film about a young director's anguishes and problems. Kristo's only feature film Eddie & Suzanne (1974) is a road movie about a Norwegian Romeo and Juliet in the 1970s."
53,Eddy Veen,"Netherlands, The",
54,Peter Thomann,Germany,"Peter Thomann (Berlin, 1940) studied with Otto Steinert at the Folkwangschule für Gestaltung in Essen, graduating as a photojournalist in 1965. After his graduation, he worked as a freelance photographer, traveling around the world. In 1968, he joined Stern as a staff photographer, where he stayed until his retirement in 2005.He won several World Press Photo awards and his 1963 winning image 'Stute mit Fohlen' (mare and foal) is, according to the Guinness Book of Records, the most copied photograph in the world. Since 1998, the image is the offical logo of the Kentucky Horse Park in Lexington, Virgina, USA. With the prizemoney he received for this image, he financed a photographic trip to Morocco, which won him a second World Press Photo award in 1964. "
55,Maya Okushko,Russia,"Maya Okushko (1924-2007) started her career at the illustration department of the Russian newspaper Komsomolskaya Pravda. In 1945, the newspaper published her first photo. After working for Pravda for more than twenty years, Okushko joined the 'Book Review'. She also worked as a reporter for the Russian press agency RIA Novosti for two years."
56,Frank Cancellare,USA,
57,Malcolm W. Browne,USA,
58,Freddy Lindström,Sweden,
59,Murray Becker,USA,
60,Sidney Martin,United Kingdom,"English photographer Sidney Louis Martin (born in 1895, year of death unknown) was a photographer for the Sunday Graphic between 1945 and 1948. In April 1950, he joined Kemsley Newspapers as a regular casual photographer and rejoined the staff in July 1951. Kemsley Newspapers sold their titles, including the Sunday Graphic and The Sunday Times to Thomson Newspapers in 1959. The Sunday Graphic was closed in 1960 and Sidney Martin left Thomson Newspapers in 1965."
61,Fritz Peyer,Germany,"Fritz Peyer (München, 1919 - Hamburg, 2001) was a German photojournalist and theatre photographer, specialized in opera, ballet and horse sports. Peyer started training as an engineer, but was drafted into the army before he could finish his education. After the Second World War, Peyer came to work in the theatre by chance, first as a lighting technician and stagehand at the Hamburger Kammerspielen, and later as an assistant of theatre photographer Rosemarie Clausen.Peyer was a self-taught photographer, who worked as a freelance photographer for the Hamburger Kammerspielen and the Hamburgische Staatsoper. He was also an accomplished sports photographer, specialized in horse sports such as riding and jumping shows. In 1996, he was awarded the Alexander Zinn Prize by the city of Hamburg.In 2004, Fritz Peyer's widow donated his entire collection of horse negatives to the Deutsches Pferdemuseum in Verden near Bremen. His theatre photos are kept in the Deutsches Theatermuseum in München."
62,Donald K. Price,United Kingdom,
63,Ulrich Mack,Germany,
64,Don McCullin,United Kingdom,
65,Gennady Koposov,Russia,"Gennady Koposov (1938-2001) was 17 years old when his first photograph was published in a newspaper. In 1950s, he joined the Soviet news agency Itar Tass and in 1960 he started working for the magazine Ogonyok where he stayed until his death in 2001."
66,Ronald G. Bell,United Kingdom,
67,Jaime 'Jaiguer' Guerrero Castrillon,Colombia,"Colombian photographer Jaime Guerrero Castrillon, nicknamed Jaiguer, was born in 1939 in Abriaquí and studied at the Ateneo Antioqueño and the University of Antioquía, before becoming a professional football player at Deportivo Independiente in Medellín. After he got married, he left football and became a photographer. He began his photographic career as a lab assistant with an uncle, and learned himself to photograph while roaming the streets of Medellín. In 1959, he became a photographer at the national newspaper El Correo, and later went to photograph as a freelancer for El Colombiano, Vea Deportes magazine and the Periódico de Bogotá, among others. In the 1970s, Jaiguer worked for Colombia's 24th President Alfonso López Michelsen.Later, Jaiguer moved to Panama where he became the personal photographer of General Omar Torrijos, the military leader of Panama until his death in 1981, and General Manuel Noriega. After the U.S. invasion of Panama in 1989, Jaiguer had to burn large parts of his photographic archive to avoid reprisals."
68,Eddie Adams,USA,
69,Stig Naess,Norway,
70,René Maestri,Monaco,
71,Peter Dawson Ralph,United Kingdom,
72,Emil Fafek,Czech Republic,"Emil Fafek (1922-1997) started as a retouche assistant at the print firm of Neubert & Sons in Prague. A self-taught photographer, he made his first photographs as a teenager, and from 1939 onwards he began to publish his photos in newspapers and weekly magazines. During the Second World War, Fafek was a forced laborer in Germany. In early May 1945 he was back in Prague, where he photographed the uprising by the Czech resistance against the German occupators, which ended in a ceasefire when the Soviet Red Army entered the city. That same year, Fafek became a staff photographer of the newly daily founded newspaper Mladá Fronta, where he stayed for more than 40 years."
73,Manfred Rehm,Germany,Manfred Rehm (Heidenheim
74,Rolf Kreuder,Germany,"Rolf Kreuder (Würzburg, 1923- Fulda, 1995) was educated as a photographer at the Bauhaus in Weimar. During the Second World War, Kreuder worked as a photoreporter for the Germany army in the Eastern Front. When he returned from Soviet war imprisonment in August 1945, he went to study at the Bayerische Staatslehranstalt für Lichtbildwesen in Munich. In 1949, he opened a portrait studio in Tann (Rhön). In the 1960s, he traveled extensively to the Middle East to photograph its landscapes, people and cultural heritage.His photographic estate is kept at the Bischöfliche Generalvikariat in Fulda."
75,Kyoichi Sawada,Japan,
76,László Fejes,Hungary,"Before becoming a successful photojournalist, László Fejes (1935-1985) worked in a telephone factory and as an unskilled laborer at the Budapest Photographic Company. From 1964 until his death in 1985, Fejes was a photojournalist for the magazine Film Színház Muzsika. He was a well-known jazz and theatre photographer."
77,James Bourdier,USA,
78,Matt Herron,USA,
79,Gerd Heidemann,Germany,
80,Walter J. Lockeyear,United Kingdom,
81,Rudi Herzog,Germany,
82,Erich Baumann,Germany,
83,Boris C.M. Spremo,Canada,"Boris Spremo was born in 1935 in former Yugoslavia. In 1957, after graduating from the Belgrade Cinematographic Institute, Spremo moved to Canada. In 1962, he became a staff photographer at The Globe and Mail, and moved to The Toronto Star, four years later, where he retired in 2001. Boris Spremo was the first Canadian photographer to win a prize in the World Press Photo contest."
84,John Rooy,"Netherlands, The",
85,Zamanianne Djahanguir,Iran,
86,Günter R. Reitz,Germany,
87,Peter Ross Cox,United Kingdom,
88,John Rooney,USA,
89,Dieter Heggemann,Germany,
90,James Atherton,USA,
91,Ekkehart Sachse,Germany,
92,Shisei Kuwabara,Japan,
93,Lev Porter,Russia,"Lev Porter (1920-1989) graduated as a photographer from a photo technical collega before the Second World War. After the demobilization in 1945, Porter joined LenTass press agency as a photographer, and from 1949 onwards ITAR-TASS in Moscow. Between1979 and 1986, he was a photo editor at ITAR-TASS."
94,Ben Meerendonk,The Netherlands,
95,Larry Burrows,USA,"Larry Burrows (London, UK, 1926-Laos, 1971) started his career in Life magazine's London bureau, where he printed photographs. After the Second World War, in 1945, he became a photojournalist for Life and worked in Congo and the Middle-East before going to Vietnam. He arrived first in Vietnam in 1962. When the war broke out he decided to stay to cover the conflict. He died on 10 February 1971, when his helicopter was shot down over Laos. Also on board were fellow photojournalists Henri Huet, Kent Potter and Keisaburo Shimamoto, who died as well. Burrows was an extraordinary talented and brave war photographer, by whom others measured themselves.American journalist and Pulitzer Prize winner David Halberstam, who was in Vietnam with Burrows, wrote in the book Requiem: By the Photographers Who Died in Vietnam and Indochina (1997): 'I must mention Larry Burrows in particular. To us younger men who had not yet earned reputations, he was a sainted figure. He was a truly beautiful man, modest, graceful, a star who never behaved like one. He was generous to all, a man who gave lessons to his colleagues not just on how to take photographs but, more important, on how to behave like a human being, how to be both colleague and mentor. Our experience of the star system in photography was, until we met him, not necessarily a happy one; all too often talent and ego seemed to come together in equal amounts. We were touched by Larry: How could someone so talented be so graceful?'"
96,Viacheslav Un Da-sin,Russia,
97,Friedl Ulrich,Germany,"German photo journalist Friedl Ulrich (1920-1982) joined the German daily newspaper Nürnberger Nachrichten not long after its foundation in October 1945. He stayed with the newspaper until his death in 1982, first as a photographer and later as the chief photo editor."
98,John Rous,USA,"John Rous (Meridian, Mississippi 1912-Lynchburg, Virginia, 1995) was a White House photographer for The Associated Press (AP), who photographed six presidents during three decades, from Franklin D. Roosevelt to Richard Nixon.Rous grew up in Chattanooga, Tennessee, where he studied photography with local photojournalist Arthur Brooks. Before the Second World War, Rous worked as a photographer for the Washington Times, later Washington Herald. During the war, he served in the Office of War Information as the chief of photographers. Rous joined AP at the end of the war and stayed with AP until his retirement in the 1970s."
99,Vasily Malyshev,Russia,"Vasily Malyshev (1900-1986) began in 1937 as a freelance reporter for the newspaper Trud. Later, he joined Soyuzfoto Soviet News Agency and eventually ITAR-TASS. During the Second World War, Malyshev worked as a war photographer for ITAR-TASS, and he was an assistant to the Chief of Staff of the Red Army artillery. At the Nuremberg Trials, Malyshev was the Soviet Union's official photographer. After the war, Malyshev transferred from ITAR-TASS to RIA Novosti."
100,Lajos Keresztes,Germany,
101,Gérard Klijn,The Netherlands,
102,Arthur Bastiaanse,The Netherlands,
103,Hans-Dietrich Kaiser,Germany,
104,Mogens Berger,Denmark,
105,Thomas Hoepker,Germany,
106,Peter Elinskas,United Kingdom,
107,Fred Ihrt,Germany,"Manfred Ihrt (Pforzheim, 1918-Hamburg, 2005) worked as a press photographer for the German newspaper the Rhein-Neckar-Zeitung between 1948 and 1951. In 1957, he became a staff photographer at Stern magazine. "
108,Ernst Saxer,Switzerland,"Ernst Saxer was a Swiss pilot and photographer from Luzern. He was known for his photographs of military airplanes in flight during training sessions and flight stunts. He was killed 'in action' on 18 April 1968, when a plane of the Patrouille Suisse, which he was photographing from the ground for his book and film 'Operation Überleben', hit him and later crashed. Both Saxer and the pilot of the plane were killed."
109,Karel E. Vereecken,The Netherlands,
110,Co Rentmeester,The Netherlands,
111,Georg Munker,Germany,
112,Peter Skingley,United Kingdom,
113,Cheong-han Aw,Hong Kong,
114,Hiromichi Mine,Japan,
115,Roy Miller,USA,
116,Eli J. Bottomley,United Kingdom,
117,Stewart Fraser,United Kingdom,"Sports photographer Stewart Fraser has been one of the founders of Colorsport Images Ltd, a sports photographic archive and agency, containing around 10 million images covering almost 150 years of sport. The agency was one of the first to cover sport in color as well as in black and white. Fraser established Colorsport in the late 1960s together with Colin Elsey. They were later joined by Andrew Cowies. Fraser retired in 2003."
118,Roland Witschel,Germany,
119,Peter Jackson,United Kingdom,
120,Igor Utkin,Russia,
121,Hilmar Pabel,Germany,
122,Gianfranco Moroldo,Italy,
123,Victor Budan,Russia,"Victor Budan (1938-1989) started his career at the cliché department of the ITAR-TASS press agency in 1958. He graduated from de department of journalism at the Moscow State University. From 1963 onwards, he was a staff photographer at ITAR-TASS. "
124,David Paynter,Zimbabwe,
125,Sven-Erik Sjöberg,Sweden,
126,Terence Spencer,United Kingdom,
127,Frank Hoy,USA,
128,Ron Bennett,USA,
129,Pedro Luis Raota,Argentina,
130,Max Scheler,Germany,
131,Alfred Markey,United Kingdom,
132,Tonny Strouken,"Netherlands, The",
133,Douglas Miller,United Kingdom,
134,Stanislaw Jakubowski,Poland,
135,Horst Faas,Germany,
136,Toshio Aoi,Japan,
137,Tony Vaccaro,USA,"Tony Vaccaro (Greensburg, Pennsylvania, 1922), also known as Michael A. Vaccaro, is best known for his photos taken in Europe during the Second World War. Vaccaro, son of Italian immigrants, had been drafted into the U.S. army in 1943 and sent to Europe in 1944. After the war, he stayed in Europe working as a photographer for the U.S. authorities, stationed in Frankfurt, and for the U.S. Army newspaper Stars and Stripes. After his return to the United States in 1949, he worked for Life and Look magazines, photographing celebritites and fasion."
138,Alexey Perevoshchikov,Russia,"Alexey Perevoshchikov (1905-1988) studied at the Vyatka Industrial Art College. He worked as a photographer for the daily newspaper Vyatskaya Pravda. During the Second World War, he was a photographer at the Leningrad Military Clinic. After the war, Perevoshchikov joined the Leningrad bureau of ITAR-TASS, and later returned to his native town of Kirov-Chepetsk, where he became a photographer at the local thermal power station. From 1952 onwards, he devoted himself to art photography. His work can be found in the Kirov Regional Arts Museum, an a substantial part of his archive has been aquired by RIA Novosti."
139,Frank Attard,Malta,
140,Ruud Hoff,The Netherlands,
141,Georg Böhlje,Germany,
142,Hanns-Jörg Anders,Germany,"Hanns-Jörg Anders (Gardelegen, 1942) initially trained to be a commercial clerk. In 1961, Anders won the Deutscher Jugendpreis (Young German Photographers' Prize), and in 1966, he became a freelance photographer. He worked for magazines such as Stern, Paris Match, Epoca, Twen and Eltern. After a 3-minute interview on the telephone with Stern's chief editor Rolf Gilhausen, Anders joined Stern as a staff photographer. Hanns-Jörg Anders retired from Stern in 2002."
143,Henning Christoph,USA,"Henning Christoph (Grimma, Germany, 1944) emigrated to the United States with his family in 1950. In 1960, he sold his first news photo - a picture of a fight at a soccer game - to the Washington Daily News, which made the front page. He studied anthropology and journalism at the University of Maryland in Washington D.C.. After graduating in 1967, Henning Christoph returned to Germany to study photography with Prof. Otto Steinert at the Folkwangschule in Essen, before starting a freelance career as a photographer in Germany. Since 1969, Christoph has been working for international magazines such as Life, National Geographic, Time, Newsweek, Geo and Stern.As anthroplogist, Henning Christoph is specialized in the history, art and culture of Africa, in particular magic, healing and voodoo rituals and practices. He published several photo stories, books and films about voodoo. In 2000, he founded the Soul of Africa Museum in Essen, Germany, which is dedicated to magic, healing and voodoo practices in Africa. "
144,Antanas Alishauskas,Lithuania,"Antanas Alishauskas was born in 1936 in a Lithuanian village in what was then the Soviet Union. Two years after winning in 1964 the first prize in the Fotozagadka (photo) contest, organized by Shvituris Magazine, he joined the magazine as a staff photographer. In 1972, he was invited to become a staff photographer for the magazine Taribine Moterius in Vilnius, where he stayed for nearly thirty years. In 2005, Alishauskas became a freelance photgrapher."
145,Leif Engberg,Sweden,
146,Neil Armstrong,USA,
147, Kim Dong-Joon,South Korea,
148,Mel Finkelstein,USA,
149,Oskar Treichel,Germany,
150, Horst Faas & Michel Laurent,Germany,France
151,Wolfgang Peter Geller,Germany,
152,Kent E. Gavin,United Kingdom,
153,Bedrich Kocek,Czech Republic,
154,David Waterman,United Kingdom,
155,John Downing,United Kingdom,
156, Kim Dong-Joon & Lee Young Woo,South Korea,
157,Fernando Botán Mon,Spain,"Spanish photographer Fernando Botán Mon (1908-1983) acquired his first camera in 1957 and began photographing bullfights in arenas around Spain. In the 1960, his hobby became his profession when, together with his son Fernando Botán Castillo, he established a photographic studio, agency and publishing house, specialized in photos of bullfights."
158,Ed Lacey,United Kingdom,
159,Jacques Marie,France,
160,Andrew Lopez,USA,"UPI staff photographer Andrew Lopez (Spain, 1910-Florida, USA, 1986) came to the United States when he was four years old. During World War II, Lopez was a war correspondent for UPI and went to Europe and Pacific. In Europe, he covered the Allied landings in Normandy, the push to Paris, the Battle of the Bulge and the entry into Germany. He was wounded a few days before Paris was liberated and returned to the US for several weeks. Following his European assignment, he went to the Pacific where he remained until the end of the war. He covered the signing of the Japanese surrender and also the atomic bomb test at Bikini Atoll. In 1947, General Dwight D. Eisenhower decorated him with the Medal of Freedom for helping rescue several soldiers who had been caught in a German trap in World War II. Throughout the years, Lopez won many prizes, including the Pulitzer Prize in 1959 for photos he made in Cuba during the revolution. Andrew Lopez retired in 1983 and moved to Florida from New York City with his wife Amy, where he died on 30 October 1986."
161,Manfred Rademacher,Germany,
162,Klaus Gottfredsen,Denmark,
163,Jorma K. Pouta,Finland,
164,Frederick Keith Hoare,United Kingdom,"Frederick Keith Hoare was a staff photographer with the Belfast Telegraph before joining the Daily Mirror in February 1972. In 1966, he was awarded the Irish Photogrpaher of the Year award and in 1968 he became the first British photographer to be awarded the Travel Fellowship by the Commonwealth Press Union, working in New Zealand and South East Asia."
165,Ulrich Kohls,Germany,
166,László Török,Hungary,"László Török (Budapest, Hungary, 1948) qualified as a photographer in 1975. In 1979, he joined the Association of Hungarian Photographers and became chairman of its artistic committee in 1997."
167,Mikhail Mineev,Russia,
168,Oleg Ivanov,Russia,
169,Hannu Hautala,Finland,
170,Horst Ossinger,Germany,
171,Vaclav Jirsa,Czech Republic,"Vaclav Jirsa (Prague, Czechoslovakia, 1938) was educated as an engineer and worked as a constructor in the Czech dockyard after his graduation. In 1962, he began photographing for the factory magazine and for the daily newspaper Vecerni Praha, which he joined in 1964 as a staff photographer. He mostly shot sports and music life in Prague. In 1989, he moved to the newspaper Rude Pravo, the former Communist newspaper, which was later transformed in Pravo, where he has been working since then."
172,Stefan Tihov,Bulgaria,"In 1972, Tihov was assigned as a special photoreporter to Vietnam, becoming the first Bulgarian photographer to cover the conflict. Tihov moved to Israel around 1990 where he lived in Tel Aviv and worked as a security guard.He died unexpectedly on 25 February 2010."
173, Park Tae-hong,South Korea,
174,Nick Ut,USA,"In 1966, at a very young age, Ut joined The Associated Press (AP) in Vietnam, after his older brother Huynh Thanh My, also an AP photographer, was killed in combat. Ut covered the rest of the Vietnam War for AP. Later, he also worked in Tokyo, and in 1977 he was transferred to Los Angeles.There were many close calls for Nick Ut while covering the war in Vietnam. When the Americans and South Vietnamese invaded Cambodia in 1970, he was wounded three times: in his stomach, his left leg and in his chest. The highlight of Ut’s career came on 8 June 1972, when he photographed Kim Phuc running and screaming down route 1 after her village had been bombed with Napalm by South Vietnamese planes. Immediately after making the photo, he rushed the girl to a hospital, which saved her life.The image won every major photographic award in 1973, such as the World Press Photo award, the Pulitzer Prize, the George Polk Memorial Award and the Overseas Press Club award. In 1993, Nick Ut was asked to open a new AP office in Hanoi, where he worked with his old colleague from his Saigon years, George Esper. Ut is now a US citizen and currently lives in Los Angeles. He still works for AP as a photojournalist, and is still in touch with Kim Phuc, now living in Canada, whom he calls every week."
175,Joszef Farkas,Hungary,
176,Olle Seijbold,Sweden,
177,Boris Kaufman,Russia,
178,Peter Meissner,Germany,"Peter Meissner (1944) studied photography at the Hochschule für Grafik und Buchkunst in Leipzig between 1968 and 1972. In 1969, he started working for DDR-Fernsehen and became a freelance photographer. He became a member of the Gruppe Jugendfoto Berlin in 1970. He won many prizes in those years in East Germany, Bulgaria and Russia. "
179,Vladimir Savostyanov,Russia,
180,Lars Aström,Sweden,
181,Steven J.H. Breukel,The Netherlands,
182,Roberto Peeters,The Netherlands,
183,Sal Veder,USA,
184,Max Alpert,Soviet Union,"The Soviet photojournalist Max Alpert (1899-1980) started his career at the Rabochaya Gazeta. In the 1930s, he worked as a photo editor for the newspaper Pravda and other publications. During the Second World War, Alpert worked for the TASS agency and for the Soviet Information Bureau. His war photos were widely used for Soviet propaganda purposes both at home and abroad. After the war, he joined RIA Novosti agency, where he stayed for many years. "
185,Alexander V. Lyskin,Russia,
186,Norbert Rzepka,Germany,
187,Endre Friedmann,Hungary,
188,Cornelis Mooij,The Netherlands,
189,Engelbert Reineke,Germany,
190,Perry Kretz,USA,
191,Ron Frehm,USA,
192,Fred Schoellhorn,Germany,
193,Elio Vergati,Italy,
194,Hannu Lindroos,Finland,
195,Hanns Hemann,Germany,
196,Orlando Lagos,Chile,
197,Volker Hinz,Germany,
198,Alexander Rubashkin,Russia,
199,John Duricka,USA,
200,Ian Bradshaw,United Kingdom,
201,Peter Mitchell,Germany,
202,Yuri Ustinov,Russia,
203,Nancy Moran,USA,
204,Ken Regan,USA,
205,Mike Maloney,United Kingdom,
206,Rafik Nagiyev,Azerbaijan,
207,Irena Giedraitiene,Lithuania,
208,Tommy Mardell,Sweden,
209,Victor Arsiry,Russia,"The Russian photographer Victor Arsiry, born in Dnepropetrovsk, came to Moscow in the 1950s to find work as a photographer. He worked for several agencies and publications, such RIA Novosti where he stayed for 15 years."
210,Bill Pierce,USA,
211,Erwin Döring,Germany,
212,Imre Benkö,Hungary,
213,Ovie Carter,USA,
214,Harald Schmitt,Germany,
215,Dimitar Deynov,Bulgaria,
216,Werner E. Baum,Germany,
217,James Soullier,Canada,
218,Henri Bureau,France,
219,Yuri Teush,Russia,
220,Miroslav Martinovsky,Czech Republic,"Miroslav Martinovsky (Prague, Czechoslovakia, 1945) was trained as a photographer in applied and industrial photography. During and after his studies, he worked as a photographer for the newspaper Lidova Demokracie. In 1966, he moved to Pionyrske, a weekly magazine for young people, and when this magazine stopped in 1968 he went to work for Sedmicka, a magazine for children between 10 and 15 years old, where he stayed until 1992. Between 1992 and 1997 he worked for Mlady svet (Young World) and between 1999 and 2000 for Nedelni noviny. Since 2000 Martinovsky works a freelance photographer."
221,Thomas Szlukovenyi,Hungary,
222,Eduardo Gageiro,Portugal,
