,Title,Published Date,Background,Story,Award,Award Region,Award Category,Jury,Stored Path,Photographer,Award Year
10,Death of a Nation,"14 June, 2017","Marianito Libo-on surveys the room where his son Jomar, who worked as an electrician, was killed moments before, in Quezon City, the Philippines. Five masked men barged into Jomar Libo-on’s home as he was watching TV, and shot him in front of his wife, son and daughters.This project documents the Philippines‘ drugs offensive from its outset, capturing its broadening focus and the continued impact on families involved.","Soon after taking office in June 2016, Philippine president Rodrigo Duterte began a concerted ‘war on drugs’, repeatedly ordering attacks against suspects. A surge of extrajudicial killings followed, perpetrated not only by police but also by masked vigilantes and other civilians. The Philippine National Police admits to more than 6,000 such deaths to date; local human rights organizations put the figure at 30,000. The police appear to act with impunity, with only a handful of these killings being seriously investigated and almost no prosecutions.",2023 Photo Contest,Southeast Asia and Oceania,Long-Term Projects,"The drug war in the Philippines is a topic that the jury has seen tackled numerous times, however this project resonated as a slow, subtle, underreported perspective. The images show survivors of the detritus as well as their profound grief– apparent on the many faces of the people pictured. The photographer made intentional intimate choices and centered the experiences of families. She successfully highlights the consequences of the country's last regime, and demonstrates how the social fabric of the Philippines is forever altered.",F:\Temp\2023\Kimberly dela Cruz,Kimberly dela Cruz,2023
11,Oil Spill in Lima,"21 January, 2022","Workers at Playa Cavero, Peru, deal with the environmental disaster caused by an oil spill at Spanish transnational oil company Repsol’s La Pampilla refinery nearby.","On 15 January, nearly 12,000 barrels of crude oil spilled into the sea while a tanker was unloading at Repsol’s La Pampilla refinery. Repsol, the Peruvian government, and the Italian tanker company each disputed the cause of the spillage, trading accusations of negligence, inadequacy of equipment, and mismanagement.",2023 Photo Contest,South America,Singles,"This image resonates globally and is a synecdoche of corporate malfeasance, government neglect, and the environmental disaster which ensues. The jury felt that it was a powerful, beautifully captured visual from one of this year’s breaking news stories. It communicates the devastating ecological impacts of oil extraction in this area with both subtlety and clarity.",F:\Temp\2023\Musuk Nolte,Musuk Nolte,2023
12,Net-Zero Transition,"19 July, 2020","A geodesic dome covers the injection well of a geothermal power plant, in Hellisheiði, Iceland. ","The plant captures geothermal energy from the volcanic Hengill mountain. Geothermal power plants draw fluids from underground reservoirs to the surface to produce steam, which then drives turbines to generate electricity. The process is not emissions-free, as the remaining fluids contain harmful condensates, but the plant injects these back into deep bedrock, where the CO2 can turn rapidly into minerals. The dome covers the borehole and equipment, reducing the visual impact on the environment. By January 2022, this plant had fixed over 100,000 tonnes of CO2 in this way. In cases where carbon emissions cannot be avoided, such carbon fixing can be a valid alternative, although critics say that carbon-capturing technologies detract from the more  pressing need to reduce carbon emissions in the first place. This project documents different technologies that offer possible routes of transition to a net-zero economy. The photographer visited innovative facilities across Europe, from Iceland to Italy, from 2020 to 2022.",2023 Photo Contest,Europe,Long-Term Projects,This project is an impressive example of solutions based journalism wherein the photographer's commitment to gaining access and incredible research offers a unique perspective into European efforts to secure a sustainable future. The project boasted beautiful aesthetics and its clinical scientific approach gives the audience space to visualize and conceptualize each solution without leading with emotion. The project is thought provoking and demonstrates the relationship between the scale of the crisis and the scale of solutions.,F:\Temp\2023\Simone Tramonte,Simone Tramonte,2023
13,"Woman, Life, Freedom",This photo-based video offers a rare and personal glimpse into the dangers faced by protestors on the streets of Iran today.,"On 16 September 2022, Mahsa “Jina” Amini, a 22-year-old Kurdish woman, died after she was arrested by the Islamic Republic’s morality police for allegedly violating the country’s strict rules restricting the dress and conduct of women. The protests, which began in Amini’s hometown of Saqez, quickly intensified, spreading across the country with support from Iranians of all ages, genders, and ethnicities. The Islamic Republic responded by disrupting internet access, intimidating journalists, and violently repressing uprisings with state security forces. Because hospitals are controlled by the regime, anyone injured in the protest risks arrest and further abuse upon seeking medical attention. ","This photo-based video project narrates one chaotic night in the life of an Iranian nurse as she fights to save the life of a young man named Reza, who is badly wounded by crossfire at a protest. Reza is dying and needs immediate medical attention, but the nurse fears that if he is taken to a hospital he will be arrested rather than given medical care. Instead, at great risk to herself, she takes him home and gives him a blood transfusion from her own body, saving his life. ",2023 Photo Contest,Asia,Open Format,"The jury was interested in this unique angle of widespread protests in Iran. The successful combination of photography, narrative audio, and video provides thorough information from the perspective of a nurse. The photographer successfully collected the visuals in a highly authoritarian context where gaining access to these stories is increasingly difficult. The project managed to connect with the jury on both a micro and macro level by recording the personal thoughts and emotions of the nurse while also communicating the bigger picture of the fight for women's freedoms in Iran. ",F:\Temp\2023\Anonymous,Anonymous,2023
14,Yana and Victor,"18 April, 2022","Consoled by her partner Yevgeniy Vlasenko and her mother Lyubov, Yana Bachek (52) cries over the body of her father Victor Gubarev (79), killed while buying bread during the shelling of Kharkiv, Ukraine. Ukrainian authorities reported five people killed and a further 15 wounded in the city that day.","Russian forces began advancing towards Kharkiv, Ukraine’s second-largest city, as soon as their full-scale invasion began on 24 February. Russia may have regarded Kharkiv, some 35 kilometers from the border, as an easy target due to its large number of Russian-speaking inhabitants; instead Russian forces were met with fierce resistance. Throughout March and April, the city was partially encircled and remained under heavy shelling. In May, Ukraine forced a Russian withdrawal from the immediate surroundings of Kharkiv, although much of provincial Kharkiv remained under Russian control throughout the summer, and shelling frequently reached the city. By 14 September, Ukrainian forces had regained control of the province. ",2023 Photo Contest,Europe,Singles,"This is a visually simple photo that highlights the reality of daily life in Ukraine and the thin line between life and death that civilians walk everyday. Taken in a sensitive moment, the image is loaded with grief and heartbreak, and boldly accomplishes the directness that the jury was looking for in a single image. The soft quality of colors creates a sense of quiet amidst the very loud pain. It is an image that forces the viewer to reckon with the spontaneity of violent Russian attacks and the psychological impacts and terror they cause on those who survive. ",F:\Temp\2023\Alkis Konstantinidis,Alkis Konstantinidis,2023
15,Battered Waters,"28 October, 2021","The Zapadnyy Suek glacier in Naryn, Kyrgyzstan, is a source of the Naryn River, which in turn feeds into the Syr Darya River. The Syr Darya skirts Uzbekistan and flows through Kazakhstan into what remains of the Aral Sea.Access to water is one of the most contentious local issues in Central Asia today. Four landlocked countries compete over the water supplies they share – a situation intensified by the climate crisis. ","For decades, interdependence between Tajikistan and Kyrgyzstan, upstream on the Syr Darya and Amu Darya rivers, and Uzbekistan and Kazakhstan downstream, encouraged peaceful interaction over use of this resource  – but drought, conflicting needs, and water mismanagement are disrupting this long-standing cooperation. Post-Soviet independence of the four countries, the subsequent growth of national identities, and the rise of privatized industries all contribute further to this imbalance.",2023 Photo Contest,Asia,Long-Term Projects,"This was a strong visual project that delved into a complex, multilayered story about the varied impacts of climate change in Central Asia. The photographer stayed clear of regional clichés and instead, thoughtfully represents water struggles/scarcity by depicting people’s diverse relationships to and uses of water in its various forms. There is a smooth connection of images across countries that are all united by the same struggles. The project is visually beautiful, dynamic and demonstrates a thoughtful edit that starts and ends strong. ",F:\Temp\2023\Anush Babajanyan,Anush Babajanyan,2023
16,The Price of Peace in Afghanistan,"19 January, 2022","Unable to afford food for the family, the parents of Khalil Ahmad (15) decided to sell his kidney for US$3,500. After the operation, Khalil suffers chronic pain and no longer has the strength for football and cricket. The lack of jobs and the threat of starvation has led to a dramatic increase in the illegal organ trade. Herat, Afghanistan.",This story captures the daily life of people living across Afghanistan in 2022. ,2023 Photo Contest,Asia,Stories,"A concise edit reflecting on the aftermath of the Taliban takeover in Afghanistan. Each photo provides new information, culminating in a comprehensive selection of nine powerful images. The project demonstrates an airtight, traditional approach that elucidates the failures of the American adventure in Afghanistan to give us a well rounded look at how these failures have impacted the people. The jury remarked that this is truly extraordinary work especially as it covers so many different layers of life under Taliban rule.",F:\Temp\2023\Mads Nissen,Mads Nissen,2023
17,Shireen Abu Akleh’s Funeral,"13 May, 2022","Israeli police beat mourners accompanying the coffin of Al Jazeera journalist Shireen Abu Akleh to her funeral, in East Jerusalem. Police prohibited people from carrying the coffin on foot through the city, which is customary for notable deaths, as mourners chanted “We sacrifice our soul and blood for you, Shireen”.Shireen Abu Akleh, a veteran reporter of the Palestinian-Israeli conflict, was shot two days earlier while covering an Israeli military raid in Jenin, West Bank. She was wearing a helmet and a blue vest labeled “PRESS” at the time. Another journalist at the scene, Al Jazeera producer Ali al-Samoudi, was wounded by a bullet in the back. He said that no Palestinian fighters were present when they were shot, and that journalists were not warned or asked to leave. International media and organizations such as Bellingcat, Forensic Architecture, and The Washington Post investigated and corroborated the claims. ","A Palestinian investigation concluded Abu Akleh had been intentionally targeted. After initially rejecting these allegations, the Israeli military has since admitted there was a “high possibility” Abu Akleh was shot by an Israeli soldier, but denies deliberate targeting. Both the US Department of Justice and the International Criminal Court have launched investigations into the shooting.Reporters Sans Frontières says that 55 journalists and four media workers were killed worldwide in 2022 for reasons linked to their activities. ",2023 Photo Contest,Asia,Singles,"This image represents multiple aspects of the ongoing occupation of Palestine– the lack of press freedom and the inability for Palestinians to lay their dead to rest and mourn. In this image, one can hear and feel a chaos frozen in time, while the composition helps to convey the brutal hardline of security forces disrupting Abu Akleh's funeral procession. For the jury, the image serves as an emotional reminder of the continued fight for press freedom and a world where journalists are noncombatants who should be able to depict truth.",F:\Temp\2023\Maya Levin,Maya Levin,2023
18,Before It's Gone,"23 March, 2021","The last group of palm trees still standing in what used to be Tanseest Oasis, 15 kilometers from the town of Assa, in southern Morocco.Global heating and destructive human activity are threatening Morocco's oases, with devastating social and environmental consequences. ","Oases depend on a delicate balance of three elements – abundant  water supply, good quality soil, and date palms – to function as islands of biodiversity and barriers against desertification. Steadily rising temperatures have led to damaging fires and water scarcity, upsetting this balance and putting the oases’ existence in jeopardy. Overgrazing exacerbates the problem. In the past, oasis water in Morocco was supplied by underground tunnels known as khattara, which tapped groundwater and brought it to the surface for irrigation. An increasing demand for water, coupled with a dwindling natural supply, means that this sustainable source is insufficient, so people have begun to sink wells (sometimes illegally). Water extracted from lower levels in the water table has a higher salt content, contaminating the soil and affecting its fertility. ",2023 Photo Contest,Africa,Long-Term Projects,"This is a slow burning climate story that portrays the varied impacts of the climate crisis on oasis communities in Morocco. The edit of subtle imagery is executed beautifully and captures the encroachment of the desert on dwellings. At the same time, the photographer manages to emphasize the finite nature of oasis environments which in the near future could disappear forever. ",F:\Temp\2023\M'hammed Kilito,M'hammed Kilito,2023
19,New Capital,"17 January, 2022","Welders work near the future Central Business District of Egypt's New Administrative Capital, under construction near Cairo. The Iconic Tower (center) will be Africa’s tallest building, at 394 meters high.","These images of a city rising in the desert near Cairo, Egypt address issues of large-scale urban development, labor, and inequality.",2023 Photo Contest,Africa,Stories,"The photographer enlisted an impressive intersectional approach to document the construction of Egypt’s New Administrative Capital. The story addresses the many layers of cross-cutting issues relating to labor, migration, development, and inequality that resonate across the continent. The jury felt that the style of clean, straight lines is aesthetically beautiful and contrasts with typical depictions of the region. Ironically, the images are too clean in a way which alerts the viewer to the range of issues emerging from a changing landscape and subsequently changing identities. The selected images are legible and organized in a way that places them in dialogue with each other, bringing to light the colossal scale of this urban project in the context of the reigning autocracy.",F:\Temp\2023\NickHannes,NickHannes,2023
20,The Big Forget,"27 October, 2022","Sugri Zenabu, a mangazia (female community leader) of the Gambaga “witch camp”, sits encircled by residents in Gambaga, Ghana. Zenabu shows some signs of confusion and memory loss associated with dementia.This photograph is part of a personal project aimed at drawing attention to often overlooked stories about dementia from the African continent. As life expectancy rises, dementia is increasingly becoming a public health and socio-cultural issue in Africa. Numbers of people living with dementia in sub-Saharan Africa are projected to double every 20 years. While key policy makers highlight trends in dementia care, treatment, and prevention, less attention is given to cultural perceptions of the condition.","People who hold traditional beliefs in Ghana and across sub-Saharan Africa sometimes see dementia symptoms such as confused speech, uncontrolled swearing, and disoriented wandering as signs of sorcery. Women are accused of being witches more frequently than men. In Ghana, they may flee or be sent away to live in so-called “witch camps”. The camps are controversial. On the one hand, they offer refuge and protection from violence; on the other, residents are stigmatized, and open to exploitation by local chiefs, who earn money from trials and rituals associated with witchcraft. Nurses from local communities who are sensitive to traditional beliefs, can play a bridging role in education about dementia, and so in reducing discrimination and stigmatization. ",2023 Photo Contest,Africa,Singles,"The photographer tackles a global public health issue that is usually hidden across Africa. The jury identified the photo’s high visual quality and use of symbols to reflect on people’s experiences of dementia and other age-related illnesses. The image captures an experience that mostly takes place in the unseen world of people's minds, in a clever, figurative way. The image successfully represents both memory loss and the tournstyle of people who pass through the camp while also centering the role of the female leader. The photographer achieves this while also avoiding the reinforcement of harmful stereotypes.",F:\Temp\2023\Lee-AnnOlwage,Lee-AnnOlwage,2023
21,"Here, The Doors Don't Know Me","Using found imagery and the artist’s own photography, Mohamed Mahdy’s project presents an elegy to a communal way of life on the cusp of disappearing.For generations, the residents of Al Max, a fishing community in Alexandria, Egypt, have lived close to the water. They built their homes right along the Mahmoudiyah canal, which connected their fishing boats to the Mediterranean. Life on the waters of the canal may have appeared idyllic, especially to photographers like Mohamed Mahdy, who was initially drawn to the site for its atmosphere, but making a living fishing at Al Max has always been difficult. International environmental agreements restrict the number of days residents can fish. Pollution from surrounding factories force fishermen to sail farther out to sea on small wooden boats, which endangers their boats and their lives. Despite the challenges, the people here have formed a strong and unique community and culture.","In 2020, the Egyptian government began evicting parts of Al Max and relocating people to housing several kilometers away from the canals. So far, about a third of the neighborhood of Al Max has been relocated. The government cites rising sea levels due to global climate change and a need for urban renewal and development as reasons for relocation, but many residents remain skeptical of its necessity. What is certain is that relocation means not only demolishing homes, but endangering the collective memories and local culture embedded in the neighborhood of Al Max. The stories captured by this project speak to the precarity of people everywhere striving for recognition amid global economic and environmental upheaval. ","People of the Al Max community speak of love letters or last words found in bottles that would wash on to their shores. For this project, Mohamed Mahdy encouraged residents to write their own letters, building an archive of private memories for future generations. Visitors to the website are also encouraged to send their letters to the residents of Al Max, opening a channel of communication to the outside world.Experience the interactive website.",2023 Photo Contest,World Press Photo Open Format Award,Here,"This web-based photo project stood out for taking advantage of the range of available tools to tell a unique story about a community of fisher folk in Alexandria. The project’s seamless package of images, audio, handwritten text, maps, and drawings elevated the already excellent selection of photographs. The jury was impressed by the photographer’s thorough research and engagement with the images, which resulted in a holistic story and gave the audience the opportunity to visualize and interact with the issue at hand.",F:\Temp\2023\Mohamed Mahdy,Mohamed Mahdy,2023
22,Battered Waters,"28 October, 2021","The Zapadnyy Suek glacier in Naryn, Kyrgyzstan, is a source of the Naryn River, which in turn feeds into the Syr Darya River. The Syr Darya skirts Uzbekistan and flows through Kazakhstan into what remains of the Aral Sea.Access to water is one of the most contentious local issues in Central Asia today. Four landlocked countries compete over the water supplies they share – a situation intensified by the climate crisis. ","For decades, interdependence between Tajikistan and Kyrgyzstan, upstream on the Syr Darya and Amu Darya rivers, and Uzbekistan and Kazakhstan downstream, encouraged peaceful interaction over use of this resource  – but drought, conflicting needs, and water mismanagement are disrupting this long-standing cooperation. Post-Soviet independence of the four countries, the subsequent growth of national identities, and the rise of privatized industries all contribute further to this imbalance.",2023 Photo Contest,World Press Photo Long-Term Project Award,Battered Waters,"This was a strong visual project that delved into a complex, multilayered story about the varied impacts of climate change in Central Asia. The photographer stayed clear of regional clichés and instead, thoughtfully represents water struggles/scarcity by depicting people’s diverse relationships to and uses of water in its various forms. There is a smooth connection of images across countries that are all united by the same struggles. The project is visually beautiful, dynamic and demonstrates a thoughtful edit that starts and ends strong.",F:\Temp\2023\Anush Babajanyan,Anush Babajanyan,2023
23,The Price of Peace in Afghanistan,"19 January, 2022","Unable to afford food for the family, the parents of Khalil Ahmad (15) decided to sell his kidney for US$3,500. After the operation, Khalil suffers chronic pain and no longer has the strength for football and cricket. The lack of jobs and the threat of starvation has led to a dramatic increase in the illegal organ trade. Herat, Afghanistan.This story captures the daily life of people living across Afghanistan in 2022. ","In August 2021, the withdrawal of US and allied forces from Afghanistan marked the end of a 20-year long attempt at nation-building. Taliban forces, having sustained an insurgency across the country, returned to power shortly after the collapse of the Afghan state. Consequently, all international aid, which in 2019 accounted for an estimated 80 percent of the country’s expenditures, was halted, and 7 to 9 billion dollars of assets belonging to the Afghan state were frozen. Without these two sources of government income, the already fragile Afghan economy effectively collapsed. ",2023 Photo Contest,World Press Photo Story of the Year,The Price of Peace in Afghanistan,"A concise edit reflecting on the aftermath of the Taliban takeover in Afghanistan. Each photo provides new information, culminating in a comprehensive selection of nine powerful images. The project demonstrates an airtight, traditional approach that elucidates the failures of the American adventure in Afghanistan to give us a well rounded look at how these failures have impacted the people. The jury remarked that this is truly extraordinary work especially as it covers so many different layers of life under Taliban rule.",F:\Temp\2023\Mads Nissen,Mads Nissen,2023
24,Mariupol Maternity Hospital Airstrike,"09 March, 2022","Iryna Kalinina (32), an injured pregnant woman, is carried from a maternity hospital that was damaged during a Russian airstrike in Mariupol, Ukraine. Her baby, named Miron (after the word for ‘peace’) was stillborn, and half an hour later Iryna died as well.Russia’s attacks on Ukrainian cities have resulted in widespread suffering and death of at least 21,000 civilians, according to the UN Human Rights Office. When Russian forces invaded Ukraine on 24 February 2022, they immediately targeted the strategically important port of Mariupol on the Sea of Azov. Russian shelling devastated the city, including numerous civilian targets, such as the maternity hospital photographed here. ","At first, Russia labeled reports of the attack on the hospital, which resulted in three deaths and some 17 injuries, as fake news. Later, the Russian foreign affairs minister Sergey Lavrov said it had been deliberate, claiming the hospital had been taken over by paramilitaries, and that patients and staff had been evacuated. An investigation by the Organization for Security and Co-operation in Europe (OSCE) concluded the hospital was deliberately targeted by Russia, in violation of international humanitarian law, and that those responsible had committed a war crime.",2023 Photo Contest,World Press Photo of the Year,Mariupol Maternity Hospital Airstrike,"The first image from Europe's winning story was awarded the World Press Photo of the Year. The jury felt that this image captures the absurdity and horror of war. It is an accurate representation of the year's events and evidence of the war crimes being committed against Ukrainian civilians by Russian forces. The image rises as a deeply painful historical fact and highlights the murder of future generations of Ukrainians. By giving the image a platform, the jury hopes that the world will stop and acknowledge the intolerable realities of this war and consider the future of Ukraine.",F:\Temp\2023\Evgeniy Maloletka,Evgeniy Maloletka,2023
